model_name,hidden_layers,activation,optimizer,learning_rate,dropout_rate,batch_norm,epochs_max,best_threshold,accuracy,precision,recall,f1,roc_auc
M9_relu_adam_5layer_700ep,"[128, 96, 64, 32, 16]",relu,adam,0.0003,0.25,True,700,0.7821,0.9825,1.0,0.9524,0.9756,0.999
M5_elu_rmsprop_3layer_400ep,"[64, 32, 16]",elu,rmsprop,0.001,0.15,True,400,0.5411,0.9825,1.0,0.9524,0.9756,0.9954
M1_small_relu_adam_100ep,[8],relu,adam,0.001,0.0,False,100,0.6585,0.9737,1.0,0.9286,0.963,0.9954
M3_classic_relu_adam_300ep,"[32, 16]",relu,adam,0.001,0.1,True,300,0.6169,0.9737,1.0,0.9286,0.963,0.9947
M8_leakyrelu_adam_4layer_500ep,"[128, 64, 32, 16]",leakyrelu,adam,0.0005,0.2,True,500,0.8061,0.9737,1.0,0.9286,0.963,0.9931
M7_relu_adam_4layer_500ep,"[128, 64, 32, 16]",relu,adam,0.0005,0.2,True,500,0.3376,0.9649,0.9524,0.9524,0.9524,0.9931
M6_relu_adam_3layer_500ep,"[64, 32, 16]",relu,adam,0.0005,0.2,True,500,0.7717,0.9649,1.0,0.9048,0.95,0.9937
M10_relu_rmsprop_6layer_800ep,"[256, 128, 96, 64, 32, 16]",relu,rmsprop,0.0003,0.25,True,800,0.8496,0.9474,0.9737,0.881,0.925,0.9897
M2_small_relu_adam_200ep,[16],relu,adam,0.001,0.0,False,200,0.9797,0.9123,1.0,0.7619,0.8649,0.997
M4_classic_tanh_sgd_300ep,"[32, 16]",tanh,sgd,0.01,0.1,False,300,0.9465,0.9035,1.0,0.7381,0.8493,0.9974
